ID,Title,Author,Date,Votes,Tags
40043,Specific mobile speed dial,luetage,2019-09-09T13:02:19.811Z,12,
33875,Expandable "back" history,ROTFL,2019-01-17T11:19:25.954Z,12,MOBILE:BACK BUTTON
40071,Disable animation opening new tab,Melvidor,2019-09-09T19:27:39.860Z,2,ANIMATIONS
40034,History: add time and device information,howardb,2019-09-09T12:01:25.159Z,4,HISTORY
40057,One column layout for tab list,algeron,2019-09-09T16:45:19.853Z,7,
40077,Option to Show full address,Stardust,2019-09-09T20:09:32.687Z,11,ADDRESS BAR
40079,Option to manually reorder Dials,Stardust,2019-09-09T20:30:21.209Z,5,SPEED DIAL
40080,Manually reorder bookmarks by moving them via favicons.,Stardust,2019-09-09T20:33:10.585Z,6,BOOKMARKS
40081,Remember the last opened bookmark folder,Stardust,2019-09-09T20:36:21.245Z,1,BOOKMARKS
40083,Too many taps to open bookmark/dial in the new tab,Stardust,2019-09-09T21:05:26.566Z,0,USER INTERFACE
40074,Option to disable pull to refresh,Stardust,2019-09-09T20:02:33.040Z,4,
40095,Enhanced notes,theprawn,2019-09-10T01:53:58.184Z,2,NOTES
40093,Fast forward button on mobile,sirfredrick,2019-09-10T00:36:43.748Z,2,
31115,"Computerish" tab bar,GoldNoway,2018-10-11T13:43:58.884Z,9,TABS:MOBILE
40104,Option to set bookmark bar folder,Joe633,2019-09-10T06:43:13.405Z,1,BOOKMARKS
40120,instant navigation history,honorine.brice,2019-09-10T09:56:08.628Z,0,
40130,Vertical Tab bar Menu,Hadden89,2019-09-10T12:13:17.426Z,3,TABS
40131,Speed Dial Selection Positions,Hankers1946,2019-09-10T12:14:53.666Z,0,
40070,Improvements to existing Reader Mode,luetage,2019-09-09T19:19:19.627Z,13,
40135,Separate Widget for opening Private Browser Window,Slashpepper,2019-09-10T15:07:04.448Z,1,
27122,Vivaldi Mobile: Address Bar at Bottom,LongLife,2018-05-02T14:04:02.069Z,71,ADDRESS BAR:MOBILE:IN PROGRESS
31078,Support Extensions,LonM,2018-10-10T07:21:50.291Z,106,EXTENSION:MOBILE
32061,Don't require google play  make APK available,x-15a2,2018-11-08T13:02:05.100Z,23,MOBILE
40013,UI resizing,remi.flores,2019-09-09T09:17:01.313Z,12,USER INTERFACE
