ID,Title,Author,Date,Votes,Tags,Posts,Views
31078,Support Extensions,LonM,2018-10-10T07:21:50.291Z,591,WILL NOT DO,314,63705
40148,Customizable search engines,jcprevel,2019-09-10T19:13:36.169Z,352,SEARCH:SETTINGS:NICE TO HAVE,150,23824
32053,Text Wrap / Text Reflow,dmitrik,2018-11-08T10:40:07.550Z,202,WEB PAGES:ZOOM,82,13034
85000,Workspaces on mobile,Blindheit,2023-03-22T09:44:56.579Z,98,USER INTERFACE:NICE TO HAVE,22,3094
85000,Workspaces on mobile,Blindheit,2023-03-22T09:44:56.579Z,98,USER INTERFACE:NICE TO HAVE,22,3094
40417,Built in RSS Feed,luetage,2019-09-15T10:13:46.444Z,90,NICE TO HAVE,19,2441
49255,Dark websites schedule,taronpro,2020-07-28T12:59:52.084Z,68,SETTINGS:WEB PAGES:PIPELINE,40,3696
49255,Dark websites schedule,taronpro,2020-07-28T12:59:52.084Z,68,SETTINGS:WEB PAGES:PIPELINE,40,3696
40073,Option to clear cookies on exit and dedicated whitelist,luetage,2019-09-09T20:02:10.303Z,62,COOKIES:SETTINGS:PRIVACY AND SECURITY:NICE TO HAVE,31,5805
40073,Option to clear cookies on exit and dedicated whitelist,luetage,2019-09-09T20:02:10.303Z,62,COOKIES:SETTINGS:PRIVACY AND SECURITY:NICE TO HAVE,31,5805
89784,iOS Reader View,pjol,2023-08-21T10:14:05.914Z,57,IOS:READER VIEW:PIPELINE,30,2857
32020,"Seamless browsing experience" aka. realtime tabs syncing with PC,jacekn,2018-11-07T14:14:14.917Z,53,SYNC:MOBILE:TABS:SESSIONS,16,2038
32042,UserScript/User Javascript/Greasemonkey support,Viqsi,2018-11-08T03:24:19.713Z,51,WEB PAGES:PIPELINE,16,3338
46946,Import and export bookmarks,Neon99,2020-05-12T23:06:30.095Z,50,BOOKMARKS:PIPELINE,65,7943
43319,Make "simplified view" more subtle,madiso,2020-01-08T15:31:04.064Z,50,WEB PAGES:USER INTERFACE:PIPELINE,36,3077
27229,Vivaldi Mail app for mobile phones,CheVe11e_191,2018-05-06T18:23:02.293Z,48,NICE TO HAVE,17,6549
92439,Customize toolbars,kyu3a,2023-11-13T15:17:31.475Z,46,PIPELINE:USER INTERFACE,19,1446
46428,Markdown support for notes,infosrefanvlad,2020-04-29T12:57:53.804Z,42,NOTES:IOS:ANDROID:IN PROGRESS,11,1160
41165,Close All Tabs When App Is Closed,deinonychuscowboy,2019-10-04T14:51:37.097Z,38,PIPELINE,41,5880
52019,Fingerprinting protection,tverye,2020-10-21T15:45:08.850Z,36,PRIVACY AND SECURITY:NICE TO HAVE,16,4481
40081,Remember the last opened bookmark folder,Stardust,2019-09-09T20:36:21.245Z,36,BOOKMARKS,18,1381
40694,Choose default download folder location,dewey,2019-09-21T09:52:24.806Z,34,DOWNLOADS:SETTINGS:PIPELINE,15,2425
84847,Gestures,Steffie,2023-03-16T15:58:12.097Z,33,NICE TO HAVE,24,3069
53268,Hide the bottom navigation bar,madonnaragu,2020-11-23T11:17:20.095Z,32,,30,3339
37117,Sessions,ROTFL,2019-05-08T12:19:03.190Z,32,TABS:NICE TO HAVE,10,1860
46613,User agent for Android,Samuraj,2020-05-03T17:40:28.738Z,31,USER AGENT,2,853
40041,Allow toggling (or remove) the bottom bar,madiso,2019-09-09T12:50:15.538Z,30,UI DESIGN,22,2335
40041,Allow toggling (or remove) the bottom bar,madiso,2019-09-09T12:50:15.538Z,30,UI DESIGN,22,2335
103856,Add Import/Export as another option for Sync,Aaron,2024-12-17T05:55:27.111Z,30,SYNC,12,537
68495,Read aloud feature,leonard178,2021-11-11T16:08:07.224Z,29,,14,2117
68495,Read aloud feature,leonard178,2021-11-11T16:08:07.224Z,29,,14,2117
40043,Specific mobile speed dial,luetage,2019-09-09T13:02:19.811Z,29,SPEED DIAL:SYNC:PIPELINE,11,834
31072,Utilize fingerprint scanner,ROTFL,2018-10-09T22:24:16.422Z,29,MOBILE,4,691
40099,Open certain links in external apps,Polando,2019-09-10T05:14:24.899Z,28,,18,5789
40390,Possibility to use the profiles,PIERREV,2019-09-14T15:09:20.269Z,28,PROFILES,10,834
41105,Notes Widget,francescomariani,2019-10-02T22:25:27.775Z,28,,9,1205
82898,Simple button for Reader View,jamesthebud,2023-01-14T10:59:08.364Z,27,READER VIEW:IN PROGRESS,14,1085
48523,Everything should be a tab,luetage,2020-06-26T07:20:50.891Z,25,,14,628
87119,Remove Folder Mobile Bookmarks iOS/Android,mib2berlin,2023-05-20T07:23:49.546Z,25,BOOKMARKS,10,2949
40074,Option to disable pull to refresh,Stardust,2019-09-09T20:02:33.040Z,24,,20,1052
40077,Option to Show full address,Stardust,2019-09-09T20:09:32.687Z,24,ADDRESS BAR,14,979
40057,One column layout for tab list,algeron,2019-09-09T16:45:19.853Z,23,,3,200
40078,Option to use Private mode by default,Stardust,2019-09-09T20:13:29.393Z,22,PRIVACY,9,1650
48334,Compact List of Tabs in Tab Switcher (hide thumbnails),davidsprinkle91,2020-06-20T13:40:37.552Z,21,TABS,5,418
43855,Scroll to top button,sungmin7062,2020-01-31T02:18:08.267Z,20,,4,477
58091,✨ Pinned tabs for Vivaldi Android ✨,stardepp,2021-03-13T17:17:51.881Z,19,,7,676
38732,Save Browsing History Duration,Folgore101,2019-07-09T17:22:36.926Z,19,SETTINGS:HISTORY:NICE TO HAVE,5,1156
40695,Choose what to load at startup,Marko Indaco,2019-09-21T10:24:08.278Z,19,,5,257
31061,Import bookmarks from other mobile browsers,ROTFL,2018-10-09T20:56:02.618Z,19,MOBILE:IMPORT:BOOKMARKS,2,595
40553,Hard reload (cache reset),rohschinken,2019-09-18T13:09:23.498Z,18,,22,3762
40319,Standalone / Separate Notes from phone app  for easier direct access,aeiou,2019-09-13T05:23:39.741Z,18,NOTES,7,796
36484,Quick scrolling capabilities / Scrollbar,ROTFL,2019-04-11T16:31:08.805Z,17,MOBILE:SCROLLING,13,1171
41614,Making Vivaldi browser Android TV compatible,callionifabio,2019-10-24T15:22:15.193Z,17,PIPELINE,24,3984
49837,Remove dependency on Google Service from Android App,mirevsky,2020-08-18T21:33:37.698Z,17,,2,232
52469,Read web page content aloud,malv,2020-11-02T06:04:52.893Z,16,,9,754
89641,iOS | Enable full website translation,monsieurzik,2023-08-16T09:40:05.008Z,16,TRANSLATE:IOS:WEB PAGES,7,653
69754,Cosmetic Filtering Vivaldi Android.,BlogMan,2021-12-10T09:47:04.373Z,16,,5,895
46367,Desktop mode list,akshaythorat,2020-04-28T06:33:21.233Z,16,,6,281
50976,Change the whole interface when address bar is on bottom,sirien.neiris,2020-09-22T09:57:03.442Z,16,,11,351
50652,View source code,rabe85,2020-09-12T10:41:24.056Z,15,,7,1937
47831,Fix the Dark Mode implementation.,Mcmeman,2020-06-09T18:35:21.187Z,15,,2,189
76251,Allowing plugins for Vivaldi Android,TejasGarhewal,2022-06-07T14:23:59.959Z,15,,8,3119
40253,Speed dial/Bookmarks folders navigation,ChimeraLove,2019-09-12T09:44:02.329Z,15,,14,448
24538,Sync with Android contacts / calendar,ROTFL,2018-02-02T11:28:27.990Z,15,,4,1046
68161,Customizable menu items.,vichumvk,2021-10-31T13:56:52.831Z,14,SETTINGS:TOOLBARS,16,1295
50645,Search tabs in switcher/ list view on Android,tij.gupta,2020-09-12T09:10:03.610Z,14,,3,300
88129,Enable Cosmetic Filtering In Adblock Feature,BlogMan,2023-06-18T18:19:25.028Z,13,AD AND TRACKER BLOCKER:ANDROID,1,789
51538,Adblock lists,SirRico1975,2020-10-11T18:50:20.416Z,13,,10,649
60546,Show simplified view,FabulousMythicalBird,2021-05-03T14:37:06.743Z,13,,3,271
43670,Default Assistant,crmsn,2020-01-24T12:17:54.754Z,13,,6,396
82331,Embedded PDF viewer,gadling,2022-12-23T19:59:03.332Z,12,ANDROID:NAVIGATION,15,1524
40344,Image control,shoust,2019-09-13T13:56:59.330Z,12,,7,1236
52512,Save page as PDF on Android,SerGom,2020-11-03T04:28:52.064Z,12,,19,5006
35837,Collect links from other apps (like Firefox Tab Queue),sdtbluethink,2019-03-27T10:28:16.961Z,12,MOBILE,8,1162
66837,Option for reading mode,lockrol,2021-09-27T13:00:33.848Z,11,,12,780
66837,Option for reading mode,lockrol,2021-09-27T13:00:33.848Z,11,,12,780
50614,Allow tab bar at top  address bar at bottom,maxauthority,2020-09-11T11:51:00.092Z,11,PIPELINE,5,851
60602,Vivaldi is missing from the Android's Web Search options,RammsteinAM,2021-05-04T13:04:39.819Z,11,,4,399
69923,Hide tab bar on tablets,crossLain,2021-12-14T11:28:58.078Z,11,,9,893
63263,A shortcut to go to top of page,asrat,2021-06-28T08:56:52.162Z,11,,8,519
40210,Add intent receiver that allows saving to a note (any selected text 🢂 Share 🢂 Vivaldi Notes),ROTFL,2019-09-11T17:24:18.299Z,11,,4,290
55370,Make reader mode a page action.,luetage,2021-01-11T09:37:10.579Z,11,,2,302
51502,External links straight into private tabs,omaralsharif,2020-10-10T09:02:06.014Z,10,SETTINGS,5,650
85269,Speed dial on android private tab,prinkpan,2023-04-01T03:52:41.238Z,10,SPEED DIAL:USER INTERFACE,4,279
46629,Enable bookmark nicknames,jumpsq,2020-05-04T10:43:39.775Z,10,BOOKMARKS,4,360
74611,iOS plugin (as stopgap for no iOS browser),geoken,2022-04-21T14:14:56.979Z,10,IOS,7,781
40389,Remove device name from user agent,dewey,2019-09-14T14:46:40.008Z,10,,8,679
65297,Data Saver mode,Karatay,2021-08-15T17:11:36.587Z,10,,5,1105
66600,Speed Dial at the bottom.,acrov,2021-09-21T12:28:34.298Z,10,,4,230
53483,Add Adguard optimized filters in built-in lists,balachandarsmr,2020-11-27T00:00:42.281Z,10,,1,5659
32140,Voice Support for Quick Commands,MasterLeo29,2018-11-11T20:11:43.286Z,10,MOBILE:VOICE,3,704
40679,Allow moving Vivaldi to external SD card,muttleyaxe,2019-09-21T00:34:07.247Z,9,,6,454
102874,Force a dark theme on all websites - only in dark theme,pavel.pavlenda,2024-11-07T20:16:14.450Z,9,SETTINGS:THEMES:WEB PAGES,4,202
67554,Allow collapsing of folders when adding/editing bookmarks,WDSMobile,2021-10-14T12:23:46.663Z,9,BOOKMARKS,10,536
42224,"Switch to tab" function,madiso,2019-11-17T19:53:07.567Z,9,,8,938
43199,Add the ability to control Javascript per site,poopooracoocoo,2020-01-02T10:23:26.869Z,8,,6,477
100972,Option to remove/disable typed suggestions from history and bookmarks,Gregor,2024-09-10T11:44:31.405Z,8,HISTORY:SEARCH:SETTINGS,4,239
67881,Disable Android's back button close tab.,ChimeraLove,2021-10-23T16:27:38.983Z,8,,5,829
96618,Respect system dark/light mode and optional exceptions to "force dark mode",bradlaue,2024-04-02T22:11:22.041Z,8,WEB PAGES:THEMES:PAGE ACTIONS,3,415
84137,Zoom Text Only,Gort,2023-02-23T17:24:03.692Z,8,ZOOM:WEB PAGES,43,2398
50579,Please add the tab bar above the address bar,e3s3m3a3i3l3,2020-09-10T18:02:41.128Z,8,,6,267
44937,One-button picture-in-picture (PiP) with buttons like desktop,Poto,2020-03-15T15:20:56.458Z,8,USER INTERFACE:MEDIA,10,821
52030,Adblock filter updates...,ahmetulusoy,2020-10-21T22:09:25.524Z,8,,2,137
51000,smaller search widget,sahands,2020-09-23T00:28:40.298Z,8,,8,298
78666,Put reload button back  or let us order the buttons in options.,Kaukamieli,2022-08-22T15:37:03.246Z,8,,2,156
65822,Integrated password manager - allow to edit passwords,abdellahb,2021-08-31T08:56:29.490Z,8,PASSWORDS,7,661
54691,Recent tabs - open in new tab,madonnaragu,2020-12-19T20:25:54.796Z,8,,8,299
63058,Disable Speed Dial,slydog3333,2021-06-23T12:09:56.997Z,8,,5,357
59844,Improve your Dark Mode for Web Pages,hotlikewassabi,2021-04-20T15:55:40.993Z,8,,2,276
49726,Manually update ad-block and tracker lists,Gort,2020-08-14T14:28:04.044Z,8,,3,314
93680,Remove white space from blocked ads,uvUG8iGTpxos2aM,2023-12-22T23:45:38.645Z,7,AD AND TRACKER BLOCKER:IOS,9,747
100306,Tab groups/stacks on iOS,domiriel,2024-08-18T18:04:06.222Z,7,IOS:TABS:TAB STACKS,5,655
60778,Option to choose behavior when closing tabs,paulojrmam,2021-05-07T20:47:13.089Z,7,,3,438
51642,Have just a single toolbar like chrome,HeinrichCorneliusAgrippa,2020-10-14T23:06:40.180Z,7,,15,757
45472,Moving the Vivaldi button for easier access,jnss98b,2020-04-05T06:20:07.849Z,7,,17,588
65730,Scroll Button for easy navigation on long sites,meggrain,2021-08-28T15:47:18.592Z,7,,2,118
87244,[Feature Requests] I want a new tab to appear automatically when all tabs are closed,kyu3a,2023-05-23T15:07:15.386Z,7,TABS:SETTINGS:IOS,2,222
71714,Share Tab Groups,MoosMas,2022-02-08T20:50:41.193Z,7,,7,471
43209,Full screen,Redrooster99,2020-01-02T19:03:02.987Z,7,,3,177
60426,Inbuilt Video Player (Like Samsung Internet Browser),Dhannush,2021-05-01T16:01:06.724Z,7,,11,3346
37576,ARM Package for SailfishOS,PeerAtle,2019-05-21T20:00:19.693Z,7,,9,798
41178,Non-grid tab layout,shabaabk,2019-10-05T00:16:07.150Z,7,,2,237
52274,Longpress "Back" button to view tab history (with Bottom Address Bar enable),rodrigoswz,2020-10-28T02:00:20.743Z,7,,2,115
52060,Allow to rename [native] blocker lists,Hadden89,2020-10-22T12:44:25.641Z,7,,1,98
50505,Keepass2Android support,oudstand,2020-09-09T06:03:28.105Z,7,PASSWORD MANAGER,3,385
40805,add bulit in vpn for private window,look90,2019-09-24T04:31:53.942Z,7,,31,2320
44424,Focus address bar when opening a new tab,felagund,2020-02-23T11:47:56.547Z,7,,8,543
42182,Change behavior of middle bottom button when on a web page.,impune,2019-11-15T12:43:59.349Z,7,,5,258
42434,Make "tap to search" work with any search engine,madiso,2019-11-29T08:30:30.165Z,7,SEARCH,1,144
40095,Enhanced notes,theprawn,2019-09-10T01:53:58.184Z,7,NOTES,3,334
100785,Sync Tab Stacks in Clear Structure from Mobile to Desktop  Desktop to Mobile,dpn,2024-09-04T14:26:40.325Z,6,SYNC:TAB STACKS:PANELS:ANDROID,4,214
65094,Calendar for mobile,rustiklopp,2021-08-10T05:49:44.467Z,6,,19,1098
90724,iOS: Swipe tab to close,bridgebr,2023-09-19T08:46:30.127Z,6,TABS:IOS,2,395
91378,One separate app for both mail & calendar on iOS & Android,ShriviShine,2023-10-10T01:20:04.037Z,6,MAIL:CALENDAR,2,295
56890,Please add a confirmation dialog to the Delete Note button.,aoisensi,2021-02-12T22:58:36.623Z,6,,6,308
54161,Add note shortcuts,Poto,2020-12-10T01:32:51.451Z,6,,2,133
