ID,Title,Author,Date,Votes,Tags,Posts,Views
24595,Add Searchable Tags for Bookmarks,josephj11,2018-02-02T21:44:18.401Z,171,BOOKMARKS:TAGS,54,4329
24867,Auto Detect Logos + Select Part of the Page for Speed Dial and Bookmark Thumbnails,hrh_fourtyseven,2018-02-09T05:56:27.575Z,145,SPEED DIAL:THUMBNAILS,17,2054
24867,Auto Detect Logos + Select Part of the Page for Speed Dial and Bookmark Thumbnails,hrh_fourtyseven,2018-02-09T05:56:27.575Z,145,SPEED DIAL:THUMBNAILS,17,2054
24479,Sync custom Speed Dial thumbnails,ROTFL,2018-02-01T22:57:16.058Z,115,SPEED DIAL:SYNC:THUMBNAILS:PIPELINE,25,2528
24491,Duplicated bookmark detection / cleanup,ROTFL,2018-02-01T23:55:00.884Z,112,BOOKMARKS:PIPELINE,32,4365
24228,Dedicated Bookmarks Folder for Web Panels,luetage,2018-01-31T10:55:13.995Z,64,PANELS:BOOKMARKS,8,1481
29371,Bookmark Manager Improvements,kmedeiros,2018-08-14T18:23:57.897Z,44,MANAGEBOOKMARKS:BOOKMARKS,23,2156
24113,Go Back to Parent Folder in Speed Dial,RayAlpha,2018-01-31T08:30:28.188Z,44,SPEED DIAL:NAVIGATION,32,2825
24497,Keep multiple backups of sessions / bookmarks / notes / ...,ROTFL,2018-02-02T00:21:33.395Z,43,BOOKMARKS:SESSIONS:BACKUP:NOTES,13,2046
26593,Collapse Folders when Adding a Bookmark,oskark,2018-04-10T13:18:21.888Z,37,BOOKMARKS,24,2049
32095,Option for Colored Bookmark Folders,FatihSultan,2018-11-09T17:13:00.112Z,36,BOOKMARKS:BOOKMARKS PANEL:COLOR,13,862
24392,Delete Bookmark Thumbnails,Pesala,2018-02-01T10:05:22.543Z,36,BOOKMARKS:THUMBNAILS,27,1786
24592,Drop-down bookmarks menu button on the Address Bar,Stardust,2018-02-02T20:31:35.359Z,34,MENUS:ADDRESS BAR:BOOKMARKS,15,2729
24592,Drop-down bookmarks menu button on the Address Bar,Stardust,2018-02-02T20:31:35.359Z,34,MENUS:ADDRESS BAR:BOOKMARKS,15,2729
25418,Sort Bookmarks by Folders First,neltherion,2018-02-24T06:09:51.112Z,33,BOOKMARKS:SORT BOOKMARKS,8,1122
34405,Colored Bookmark Folders and Separator Bars,tristanhenderson,2019-02-07T11:53:44.143Z,32,BOOKMARKS:GUI,11,641
28972,Keep Current Bookmark Selected After Cancelling Tree Search,Marc Sigrist,2018-07-25T16:35:26.573Z,29,BOOKMARKS:SEARCH,14,945
24244,Device-specific Speed Dials,awking,2018-01-31T11:18:46.638Z,28,SPEED DIAL:SYNC,6,811
24629,Option for Bookmarks Bar Folder to Stay Open after Opening a Bookmark,eXzentrik,2018-02-03T13:15:10.977Z,27,BOOKMARKS BAR,12,1364
24161,Full Mouse Gesture Support in Speed Dial,LonM,2018-01-31T09:38:00.556Z,27,SPEED DIAL:MOUSE GESTURES,5,901
60306,Focus the bookmarks folder tree when adding new bookmarks,arnad,2021-04-30T00:27:06.764Z,26,,20,505
30201,Dedicated Bookmarks Folder for Search Engines,duarte.framos,2018-09-21T00:53:24.445Z,25,,27,1896
26215,Drag and Drop to Reorder Speed Dial Pages,The_Fireplace,2018-03-26T22:07:49.130Z,22,SPEED DIAL:NAVIGATION BAR:DRAGANDDROP,11,1669
27150,Use Icon from Web App Manifest.json on Speed Dial,mrmamen,2018-05-03T11:12:23.876Z,22,ICONS:SPEED DIAL,8,1116
29009,Option for Most Visited Sites on Speed Dial,Beardedgeek72,2018-07-26T22:18:50.836Z,22,SPEED DIAL:MOST VISITED,5,969
24326,Split Bookmark Pane,Rongar,2018-01-31T20:23:27.406Z,21,BOOKMARKS:PANELS,16,895
26286,Add Bookmarks to Top or  Bottom of Folder,ronyxs,2018-03-28T22:15:39.624Z,20,BOOKMARKS,26,2744
26286,Add Bookmarks to Top or  Bottom of Folder,ronyxs,2018-03-28T22:15:39.624Z,20,BOOKMARKS,26,2744
