ID,Title,Author,Date,Votes,Tags
25543,Configuration for Web Panels,schreck,2018-03-01T02:58:52.126Z,8,PANELS:GUI:FONT SIZE,3,869
24705,Shortcut to load all web panels,LonM,2018-02-05T10:16:08.185Z,8,PANELS,3,523
32535,Option to pre-load specific web panel's content on startup,dude99,2018-11-26T04:45:28.139Z,8,STARTUP:WEB PANEL,5,370
33048,Add a Clear History Button to the History Panel,nikolamar,2018-12-14T11:17:43.309Z,8,BUTTON:HISTORY PANEL:CLEAR,11,528
37386,Option: Force Reload Web Panel when (re-)opening,Runamaus,2019-05-15T08:00:44.492Z,8,PANELS:WEB PANELS:RELOAD,3,213
27343,Sidebar Extension API,Nekomajin,2018-05-11T19:39:48.270Z,7,EXTENSION:PANELS:API,10,1709
24222,Option to Move Panel Toggle to Address Bar,luetage,2018-01-31T10:45:00.962Z,7,GUI:CUSTOMIZE:BUTTON,6,930
32471,Show only Domains in History,SVGuss,2018-11-23T14:54:49.609Z,7,HISTORY,4,284
34277,Modernize Panel Animation,fuller1754,2019-02-02T04:09:54.048Z,6,PANELS:ANIMATIONS,6,466
35773,Recall cursor/scroll positions in notes,goedl,2019-03-25T10:42:41.885Z,7,NOTES,1,186
36210,More tweakable toolbars and buttons,MVV_,2019-04-04T06:13:35.285Z,7,TOOLBAR:BUTTONS:MOVING,6,420
37628,Show Toolbar for some Web Panels only,AltCode,2019-05-23T20:13:47.104Z,7,PANELS:TOOLBAR,3,190
28632,Toggle Panels on Hover,MaartenRenckens,2018-07-12T09:43:12.067Z,6,PANELS:AUTO-HIDE,3,730
27435,Web Panel Search with Results Opening in a Tab,mypointofview,2018-05-15T22:54:16.474Z,6,PANELS:SEARCH:NEW TAB,3,979
27003,Back/Forward Mouse Buttons to work in Panels,Lord_Dreadwave,2018-04-27T17:37:02.663Z,6,PANELS:MOUSE BUTTONS,8,822
24481,Toggle between panels with mouse-wheel,ROTFL,2018-02-01T23:10:12.848Z,6,SETTINGS:PANELS:MOUSE-WHEEL:TOGGLE PANEL,1,348
29684,Option for Web Panel Ubiquity,dconthe3,2018-08-29T21:31:02.604Z,7,PANELS:VIDEO:AUDIO:MEDIA:PLAYBACK,9,1013
29879,Detach Panel in its own Window and Pin it on Top,peefy,2018-09-08T00:53:00.688Z,6,PANELS:ALWAYS ON TOP,3,639
30946,Add Location Switcher to Downloads Panel,Alkalin0,2018-10-06T14:31:48.541Z,6,PANELS:DOWNLOADS:FOLDER BROWSE,5,394
