ID,Title,Author,Date,Votes,Tags,Posts,Views
53420,Sync email/RSS/Calendar configurations and seen/read statuses,pauloaguia,2020-11-25T22:08:49.432Z,262,MAIL,53,19614
53420,Sync email/RSS/Calendar configurations and seen/read statuses,pauloaguia,2020-11-25T22:08:49.432Z,262,MAIL,53,19614
53314,Contacts CardDav sync,Topha,2020-11-24T15:17:50.371Z,177,MAIL:PIPELINE:CONTACTS,115,38332
53314,Contacts CardDav sync,Topha,2020-11-24T15:17:50.371Z,177,MAIL:PIPELINE:CONTACTS,115,38332
53785,Synchronization RSS reader,Kevinar,2020-12-02T13:23:59.854Z,136,FEEDS,17,5697
53785,Synchronization RSS reader,Kevinar,2020-12-02T13:23:59.854Z,136,FEEDS,17,5697
53298,PGP/GPG De-/Encryption and Signing,LonM,2020-11-24T13:44:08.216Z,91,MAIL:PIPELINE,40,10553
53626,Reorder feeds (via settings or drag&drop),Jaws,2020-11-29T06:46:22.833Z,88,PIPELINE:FEEDS,22,5730
66512,Option to send e-mails as a plain text,cdrozak,2021-09-19T10:18:06.322Z,60,MAIL,22,6206
66512,Option to send e-mails as a plain text,cdrozak,2021-09-19T10:18:06.322Z,60,MAIL,22,6206
73562,STARTTLS support || [Proton Bridge],jchortala,2022-03-30T12:05:34.658Z,53,PIPELINE:MAIL,81,31490
53327,Import & Export for Mail  Calendar and Feeds,Clairvaux,2020-11-24T17:29:06.455Z,51,MAIL,26,7642
53379,Allow editing of sender address when composing,jumpsq,2020-11-25T11:06:41.976Z,44,MAIL,18,2883
54439,Unique colors per mail account,GilgaMensch,2020-12-14T18:08:36.883Z,41,MAIL,8,1651
53706,Add list support for group of addresses,FloridaMatt,2020-11-30T18:40:47.679Z,35,MAIL,22,4148
53321,Add Folder and Label settings,jumpsq,2020-11-24T16:22:04.815Z,35,MAIL,10,1896
53349,"List View Only" as Mail view option,greybeard,2020-11-25T00:08:00.900Z,34,MAIL,24,4321
55208,Organize contacts in folders,larsen0815,2021-01-06T20:36:21.806Z,28,MAIL,18,2042
54422,Support for Microsoft Exchange,eriklothe,2020-12-14T10:21:54.726Z,28,MAIL,18,7825
72165,Coloured Email Labels,wanageeska,2022-02-17T00:13:59.513Z,27,MAIL,35,7784
53407,Export / Import | Mail / Rss Settings,Zalex108,2020-11-25T19:02:31.737Z,26,MAIL,5,1187
59140,Use new translation engine also for emails,WildEnte,2021-04-02T21:28:23.570Z,24,MAIL,21,5590
60057,Label management,WildEnte,2021-04-25T10:30:03.195Z,24,MAIL,11,1857
90674,Add S/MIME to Vivaldi Mail,DoctorG,2023-09-17T15:49:44.940Z,23,MAIL,6,1668
53641,Markdown Editor for Composing HTML Messages,burnout426,2020-11-29T12:07:59.215Z,22,MAIL,3,571
54533,Preview the page in the feed reader,pauloaguia,2020-12-16T13:03:07.453Z,19,FEEDS,8,1565
95078,Proton Mail integration,catharticwaffle,2024-02-12T01:43:39.060Z,19,MAIL,28,12083
54510,Automatic emptying of Trash & Spam folders,fred8615,2020-12-15T22:45:27.703Z,18,MAIL,13,1768
54510,Automatic emptying of Trash & Spam folders,fred8615,2020-12-15T22:45:27.703Z,18,MAIL,13,1768
57784,Allow linking to specific emails (e.g. m3://<db-item>),WildEnte,2021-03-05T19:25:15.306Z,18,MAIL,18,2954
66697,Sorting Mail Folders,jcullins,2021-09-23T17:07:08.492Z,18,MAIL,11,1585
53596,Make M3 usable with all UI configurations,[[global:former-user]],2020-11-28T17:20:40.190Z,18,MAIL,18,2456
92066,Mail panel: Favorites category & ability to reorder and hide items within a category,WildEnte,2023-11-01T10:15:29.385Z,17,MAIL,3,888
53412,Snooze / Mark as read for xy days or "follow up in xy days" label,WildEnte,2020-11-25T20:08:52.831Z,17,MAIL,6,1437
54696,Enable row shading for message list,Jaws,2020-12-19T22:02:38.749Z,17,MAIL,10,1067
53534,Better Mail Filters Support,Hadden89,2020-11-27T15:52:27.092Z,16,MAIL,8,1175
62099,Separate Mail from Panels,qazserNOS,2021-06-09T18:13:30.989Z,16,MAIL,23,3815
76710,Vivaldi Mail Dark Mode,calebtimms,2022-06-15T16:22:41.236Z,15,MAIL,8,1767
76710,Vivaldi Mail Dark Mode,calebtimms,2022-06-15T16:22:41.236Z,15,MAIL,8,1767
54039,Reorder Tasks + Drag and Drop,valiowk,2020-12-08T10:05:56.387Z,15,PIPELINE:CALENDAR,7,1950
71448,accent color for each email account,jgyvomojlpsebjpqllibkzmbwzkeuw,2022-01-31T01:09:54.776Z,15,MAIL,2,517
93236,Prompt if no Subject on new email,MisterAP,2023-12-11T10:52:50.551Z,15,MAIL,5,623
53435,Multiple Word Search Filter with AND / OR functionality,DarylO,2020-11-26T03:36:50.201Z,15,MAIL,10,1086
53299,Microsoft Calendar Sync support,LonM,2020-11-24T13:51:40.750Z,15,CALENDAR,5,3747
71122,Import and export of mail messages,mossman,2022-01-21T12:41:29.663Z,14,MAIL,8,1938
54099,send email receipts  when email is "received" or "read",peefy,2020-12-09T04:43:56.757Z,14,MAIL,31,7879
107786,Change taskbar icon when mail arrives,DoctorG,2025-04-23T07:08:21.203Z,14,MAIL,1,447
53716,Mark and filter messages with attachments,Zsul,2020-12-01T02:44:35.902Z,14,MAIL,10,1259
53774,Forward as attachment,maiiler,2020-12-02T10:20:13.502Z,14,MAIL,10,1055
75706,Improve open PDF in attachments,Dancer18,2022-05-27T05:57:57.153Z,14,MAIL,11,1333
53441,Notifications per account / filter,pauloaguia,2020-11-26T09:10:58.029Z,13,MAIL,11,1461
53441,Notifications per account / filter,pauloaguia,2020-11-26T09:10:58.029Z,13,MAIL,11,1461
53444,Mail Window Theme,mib2berlin,2020-11-26T10:01:41.946Z,13,MAIL,2,465
76512,Option to AUTO SEND E-MAILS LATER,advominator,2022-06-12T02:59:09.916Z,13,MAIL,3,520
57203,Default Sender option - always ask/not defined,sqlmiles,2021-02-18T16:54:16.701Z,13,MAIL,3,408
53612,HTML Support in Email Composer,DarylO,2020-11-29T01:30:15.203Z,13,MAIL,4,1010
74937,Add mail filter action "move to IMAP Folder",holpemen,2022-05-02T02:08:09.077Z,12,MAIL,21,3036
74937,Add mail filter action "move to IMAP Folder",holpemen,2022-05-02T02:08:09.077Z,12,MAIL,21,3036
71118,Schedule Emails and Follow-Up-Reminders (Boomerang),MKluge,2022-01-21T10:43:04.347Z,12,MAIL,11,1397
53880,Allow middle click on article list to open original page in new tab,zakius,2020-12-04T11:09:18.068Z,12,FEEDS,6,835
67731,Delete attachments from emails,WildEnte,2021-10-19T21:10:31.716Z,12,MAIL,2,441
54047,Tag Support for Contacts,burnout426,2020-12-08T12:48:57.651Z,12,MAIL,3,635
53350,Allow nesting views in symbolic folders/subfolders,Hadden89,2020-11-25T00:47:53.376Z,12,MAIL,3,757
55611,mail search for attachments - include at least file names please,WildEnte,2021-01-17T20:42:41.075Z,12,MAIL,10,1155
62607,"Archive" emails,deathau,2021-06-15T00:35:34.099Z,11,MAIL,12,2669
