ID,Title,Author,Date,Votes,Tags
27759,Improve Color Blending for Pinned Tab Icons,,2018-05-30T19:48:35.055Z,3,THEMES:ICONS:PINNED TABS,2,664
26752,Make Playing Tab (e.g. YouTube) More Visible,,2018-04-17T21:18:27.236Z,3,THEMES:VIDEO:AUDIO:MEDIA:PLAYBACK,1,614
24505,Import firefox themes,,2018-02-02T03:40:17.272Z,3,THEMES:IMPORT:FIREFOX,1,606
24469,Limit Accent Color Saturation per Webpage,,2018-02-01T21:16:50.360Z,3,THEMES:COLOR,1,522
29158,Increase the contrast of panel container background for active web panels,,2018-08-03T11:45:55.548Z,3,PANELS:THEMES:DARK,14,1179
32672,Option to Change Desktop Wallpaper with Right-click,,2018-12-02T22:57:36.674Z,3,THEMES:BACKGROUND:DESKTOP,2,385
33403,Option to take color from page header background,,2018-12-25T15:55:54.819Z,3,THEMES:COLOR,1,276
37165,Steelseries integration - possible?,,2019-05-09T01:00:43.728Z,2,THEMES:INTEGRATION,6,294
41755,Three Themes to Consider Adding to Vivaldi,,2019-10-31T14:51:36.566Z,3,,4,84
27473,Extensions Toolbar to match the Accent Color of a Theme,,2018-05-17T19:05:14.186Z,2,EXTENSION:THEMES:TOOLBAR,16,1506
31941,CSS Class for Each Theme,,2018-11-04T13:39:27.138Z,2,THEMES:CSS,1,327
34739,Transition when using Accent Color from Active Page,,2019-02-17T19:52:36.443Z,2,TABS:THEMES:GRADIENT,1,192
35491,Theme coloring improvements...,,2019-03-15T05:41:07.876Z,2,,8,366
34850,Colors for tabs,,2019-02-20T15:28:52.674Z,2,TABS:THEMES,1,223
28749,Improve Color Blending for Tabs,,2018-07-18T04:53:06.253Z,1,TABS:THEMES,1,335
30261,Bookmarks toolbar text: Customize the color or dimming amount...,,2018-09-23T12:16:55.982Z,1,,3,442
32246,Vivaldi Theme Colors are Too Strong,,2018-11-15T04:58:11.391Z,1,THEMES:COLOR,7,572
32912,Allow Vivaldi to grab its accent color from Windows 10 accent color,,2018-12-11T04:34:43.032Z,1,THEMES:COLOR,6,533
34687,Please implement a fixed common.css for Linux Version (super easy fix),,2019-02-15T17:57:03.950Z,1,WINDOW:BORDER,4,271
37243,Support for Razer Nari series - specifically ultimate also support for synapse 2 devices?,,2019-05-10T13:27:30.917Z,1,THEMES:INTEGRATION,1,170
41722,Override system settings for dark/light mode in themes,,2019-10-30T12:23:26.257Z,1,,2,50
29209,Allow Editing of Default Themes,,2018-08-06T11:26:51.954Z,0,THEMES,7,744
28031,Themes based on Musicians  Actors and Movies,,2018-06-15T16:42:50.481Z,0,THEMES,2,604
24579,A More Colorful Vivaldi for Top Tab Users,,2018-02-02T17:28:00.339Z,0,THEMES,1,365
31562,Support Prefers-reduced-motion if Animations Disabled,,2018-10-24T06:54:48.550Z,0,THEMES:CSS:ACCESSIBILITY:ANIMATIONS,1,329
31914,Make the invert filter a selectable option when choosing a theme.,,2018-11-02T21:44:56.646Z,0,THEMES:PAGE ACTIONS,1,292
31920,Windows Spotlight on Start Page,,2018-11-03T06:40:27.696Z,0,THEMES:WINDOWS 10:START PAGE:BACKGROUND,4,673
33071,Dark-Red Theme Comeback,,2018-12-14T23:09:03.330Z,0,THEMES:DARK,9,715
34738,Background box behind extension toolbar icons,,2019-02-17T19:44:44.092Z,0,EXTENSION:TOOLBAR:ICONS,12,545
37135,Speed Dial address-bar is too fat,,2019-05-08T16:10:41.828Z,0,SPEED DIAL:TOOLBAR:START PAGE,2,174
37184,More advanced Razer Chroma integration with themes,,2019-05-09T07:52:25.531Z,0,THEMES:INTEGRATION,2,240
39403,Appearance and Start Page Theme Link,,2019-08-13T18:47:32.885Z,0,,3,61
39564,Let the "highlight" color of our theme be always shown vibrantly...,,2019-08-21T23:08:59.308Z,0,THEMES:COLOR,1,41
40347,Choose active tab color,,2019-09-13T14:08:58.624Z,0,,3,59
41935,Settings - Topics: Setting for rounding the tabs is hidden - Please make this setting more visible,,2019-11-05T18:33:00.809Z,0,,3,49
43013,Ability to shuffle themes,,2019-12-24T17:55:33.672Z,0,,3,34
44653,Add skin opera 12,,2020-03-04T20:30:46.284Z,0,,2,55
