ID,Title,Author,Date,Votes,Tags
34752,Stacked Tabs Appearance,AstralDust,2019-02-18T08:13:48.092Z,1,TABS:TAB STACKS:CUSTOMIZE
34725,Switch tabs using arrow keys when mouse is over the tab bar...,TsunamiZ,2019-02-17T05:22:27.432Z,0,TABS:KEYBOARD
34712,Option to disable the Page Loading Progress Bar on tabs,Nekomajin,2019-02-16T15:43:08.780Z,1,PROGRESS BAR:LOAD
34689,Better Context Menu Access Keys,LAPIII,2019-02-15T19:39:12.807Z,1,CONTEXT MENU:ACCESSIBILITY:A11Y
34679,Move to next tab stack with keyboard,cat83293,2019-02-15T13:39:40.753Z,1,TABS:SHORTCUTS:TAB STACKS
34660,Colorize Tabs that are Playing Audio,dracho,2019-02-14T20:33:25.889Z,1,TABS:AUDIO:COLOR
34639,"Show Next Tab" and "Show Previous Tab" in the macOS status bar,splinterhead,2019-02-14T11:46:19.805Z,0,
24608,Implement Tree-style Tabs,Hadden89,2018-02-03T05:05:07.741Z,42,TABS:TREE-STYLE
34583,Ask for permission to refresh the TAB. How?,szGenius,2019-02-12T14:40:15.312Z,0,
34514,warning/options when opening a page you already have open,aach1,2019-02-10T06:33:24.821Z,3,
24983,Mouse Hover on a Tab Activates it!,maxtao,2018-02-12T12:44:19.539Z,14,TABS:HOVER
34455,Tab stack list preview,mivanit,2019-02-08T04:11:04.318Z,2,TABS:TAB STACKS
34488,Auto-New-Separate-Tab-Stack,uhm,2019-02-08T22:54:20.525Z,1,TABS:TAB STACKS
34373,Restore Open Tabs After an Update,CheechGe,2019-02-06T16:00:47.610Z,3,UPDATE:SESSION RESTORE
29208,Triple click or double click a tab to clone it...,TsunamiZ,2018-08-06T11:05:46.058Z,9,DOUBLE-CLICK:CLONE TAB
34438,Design Tab management Tabs View Timeline One tab with all tabs,viqdoclearning,2019-02-07T19:13:38.344Z,0,TABS
34431,Show the URL on the Status Bar when Hovering the Tab,zhangdl,2019-02-07T17:52:48.598Z,2,TABS:STATUS BAR
24173,Show URL on the Thumbnails,bimlas,2018-01-31T09:41:46.437Z,10,TABS:THUMBNAILS:URL:POP-UP
34384,Do not Jump to Minimized Tabs on Closing Tabs,opera6rules,2019-02-06T22:34:20.860Z,0,TABS:CLOSE TABS:MINIMIZE
30895,Save Tab Stack as Session,JasonJosephNYC,2018-10-05T12:07:08.353Z,5,TAB STACKS:SESSIONS
34364,Hide notification count when provided from the site,Hadden89,2019-02-06T13:05:28.028Z,0,
34232,Option for Middle-click to Open Tabs in Foreground,Gort,2019-01-31T17:25:19.101Z,2,TABS:NEW TAB:MIDDLE-CLICK
32151,Tab Groups,phant0m,2018-11-12T08:20:39.860Z,5,TABS:TAB STACKS:SESSIONS
34028,Make Tab Sound Icon more Noticeable and less Obstructive,chegr,2019-01-23T00:59:45.291Z,3,TABS:ICONS:AUDIO:PLAYBACK:ANIMATIONS
24970,Separate Options for Tab Cycling and Scrolling Tabs on Tab bar,Formedras,2018-02-12T04:27:44.871Z,15,TABS:SCROLLING:TAB CYCLING
34189,Marquee scroll for tabs playing media,LonM,2019-01-29T14:51:05.165Z,6,TABS:AUDIO:ANIMATIONS
33991,Show Insecure Status for HTTP Site on Tabs,Seasonly,2019-01-21T14:46:47.694Z,4,TABS:SECURITY
34178,Convert Tab to a Private Window,revolt73,2019-01-29T09:25:33.738Z,1,TABS:PRIVATE WINDOW
33636,"Show Popup Thumbnails" option hides switcher on tab groups,cab404,2019-01-06T18:22:45.889Z,1,TABS:UI DESIGN:TAB GROUPS
33855,Retractable Tab Bar,siniscarr,2019-01-16T09:25:42.588Z,0,TABS:TAB BAR:POSITION
33945,Open Image in New Tab with Original Size Regardless of System UI Scale,sprayer,2019-01-19T15:14:26.182Z,3,TABS:ZOOM:IMAGE
34095,Let us Skin/Stylize how our Tabs Look,TsunamiZ,2019-01-24T22:01:21.381Z,0,TABS:CUSTOMIZE
25665,Scrolling Over Empty Tab Bar Area to Switch Tabs,duarte.framos,2018-03-05T17:35:05.244Z,8,TABS:SCROLLING
34041,Hibernate not used tab if it consumes too much CPU (or: Protect the battery from rogue sites),marcond,2019-01-23T14:45:30.343Z,3,HIBERNATION
34029,Highlight Open Tabs that are Bookmarks,dracho,2019-01-23T01:25:04.887Z,0,TABS
34008,Add Numbered Accelerators to Closed Tabs List,debiedowner,2019-01-22T07:31:02.174Z,1,MENU:ACCESSIBILITY:CLOSED TABS:A11Y
33985,Set Webpage Zoom on Multiple Selected Tabs,tyrantilles,2019-01-21T12:45:40.906Z,0,TABS:ZOOM:WEBPAGES
33972,Open as Mobile Version in Page Actions,antoine.luboz,2019-01-20T20:36:15.404Z,0,MOBILE:PAGE ACTIONS:DISPLAY
33951,When tabs are already in thumbnails mode  don't show popup thumbnails...,TsunamiZ,2019-01-19T17:43:37.673Z,0,THUMBNAILS
31786,Auto Hibernate Tabs by a Rule (memory saving and speed up feature),djaddo,2018-10-29T15:56:59.976Z,18,TABS:HIBERNATION:MEMORY
33936,Close/pin/unpin/move remote tabs,alexander.gorbovets,2019-01-19T09:30:22.430Z,4,
