ID,Title,Author,Date,Votes,Tags,Posts,Views
82010,Bring Vivaldi Browser to Volvo with AAOS,gekko889,2022-12-15T09:15:14.837Z,6,DOWNLOADS,5,2161
76056,Make Vivaldi available on Android Auto,ppvi,2022-06-04T07:06:06.267Z,5,PIPELINE,22,14797
84214,Bring Vivaldi to Tesla,Pesala,2023-02-25T12:35:34.697Z,2,,9,5225
108063,Home Assitant on Vivaldi browser,homeanaradu89,2025-05-05T04:53:29.458Z,1,WEB PAGES:PRIVACY AND SECURITY,2,1100
92518,older models support  please,4kai,2023-11-15T20:09:12.902Z,1,SNAPSHOT:STABLE,2,1218
113826,Widevine missing in Vivaldi automotive browser,culibricon,2025-11-28T08:48:03.969Z,0,UPDATES:SETTINGS,7,1487
101699,Bring Vivaldi to GM Vehicles,train21,2024-10-07T16:17:38.323Z,0,DOWNLOADS,2,753
80713,Add to home screen feature,MausePause,2022-11-03T18:30:43.515Z,0,,10,6479
