ID,Title,Author,Date,Votes,Tags,Posts,Views
64900,Our own Server to authenticate users and sync their preferenced,biggy140886,2021-08-05T14:20:38.431Z,39,,34,9710
64900,Our own Server to authenticate users and sync their preferenced,biggy140886,2021-08-05T14:20:38.431Z,39,,34,9710
42425,More Feedback Needed for Feature Requests,Pesala,2019-11-28T17:27:41.708Z,19,FORUM,55,13531
42425,More Feedback Needed for Feature Requests,Pesala,2019-11-28T17:27:41.708Z,19,FORUM,55,13531
67079,Schedule send in Webmail,fjc1029,2021-10-04T14:44:35.183Z,17,WEBMAIL,11,3743
87702,Add passkey support for Vivaldi accounts,m00t,2023-06-07T21:33:46.244Z,13,ACCOUNT,14,3823
87702,Add passkey support for Vivaldi accounts,m00t,2023-06-07T21:33:46.244Z,13,ACCOUNT,14,3823
58333,My Flow (snyc like in Opera),swanux,2021-03-18T07:26:23.791Z,9,,7,3245
87757,Notify new users of Vivaldi webmail requirements on Settings page,quincy8888,2023-06-08T20:31:19.526Z,9,WEBMAIL,19,3320
79998,Button to Insert OS and Vivaldi Version in Messages,Pesala,2022-10-08T20:21:34.339Z,9,FORUM,2,448
63337,Don’t delete forum posts,code3,2021-06-29T14:40:41.250Z,7,,38,5151
68437,Vivaldi "Cloud storage/drive",yoge67855,2021-11-09T20:49:34.557Z,6,,18,4068
103161,Think it would be good if our "Friday poll" would also become a regular event on 'Vivaldi Mastodon',ingolftopf,2024-11-17T22:40:20.922Z,6,VIVALDI SOCIAL:FORUM,2,657
75141,add a spam filter to webmail.vivaldi.net,WildEnte,2022-05-08T18:23:29.404Z,6,WEBMAIL,25,5741
84021,Bug of the month,ourostra,2023-02-20T10:39:27.842Z,5,UPDATES,12,1481
58082,Vivaldi note web,hellojack,2021-03-13T10:55:52.951Z,5,,4,676
117712,Forum Anniversary,crossandroads,2026-04-29T00:55:11.506Z,4,FORUM:BLOGS:ACCOUNT,2,169
112687,Speech-to-text  Summarisation  Grammar Checker,alrudak,2025-10-17T13:43:45.150Z,4,FORUM:WEBMAIL,10,1291
117712,Forum Anniversary,crossandroads,2026-04-29T00:55:11.506Z,4,FORUM:BLOGS:ACCOUNT,2,169
112687,Speech-to-text  Summarisation  Grammar Checker,alrudak,2025-10-17T13:43:45.150Z,4,FORUM:WEBMAIL,10,1291
105421,Minimize X (former Twitter) usage on Vivaldi websites,lipviva,2025-02-13T13:21:29.441Z,4,FORUM:ACCOUNT:BLOGS,6,1166
103088,Perhaps the number of likes 👍 to be assigned daily could be increased for certain user groups in the forum,ingolftopf,2024-11-15T10:17:31.963Z,4,FORUM,10,1318
56569,Shorter alternative to domain for mail address (not only @vivaldi.net),mrkvlf,2021-02-06T11:55:01.625Z,4,WEBMAIL,3,719
51724,Support Markdown,nguyenthanhvuh,2020-10-15T19:38:55.568Z,4,BLOGS,6,1187
87295,Generative AI for user support,kyu3a,2023-05-24T22:33:02.078Z,4,FORUM,6,1206
78305,Please support GIF/video upload for Bug report,dude99,2022-08-12T05:54:11.781Z,4,,8,933
74401,Make a Post When Merging Duplicate Threads,nomadic,2022-04-15T22:41:04.747Z,4,FORUM,4,651
94624,AI Assistant to Vivaldi,raalapas,2024-01-26T14:59:19.679Z,3,FORUM,77,21234
94624,AI Assistant to Vivaldi,raalapas,2024-01-26T14:59:19.679Z,3,FORUM,77,21234
108858,Forum Search Duplicate Entries,davidspc,2025-06-01T07:17:42.350Z,3,FORUM,1,451
94558,Add JMAP option,sarahj,2024-01-24T14:42:54.457Z,3,WEBMAIL,1,492
90289,Split Mobile feature requests into Android and Apple,Hadden89,2023-09-05T11:44:06.888Z,3,FORUM,5,851
85893,Host a Pixelfed Instance on Vivaldi Social,NeadReport,2023-04-19T18:11:58.451Z,3,VIVALDI SOCIAL,3,732
62190,Implement Web interface to view Vivaldi Sync data online in any browser,Murz,2021-06-10T09:05:11.025Z,3,,9,1828
65601,Rich filters that allow forwarding a copy of email to another address,zerospam,2021-08-24T20:35:05.603Z,3,WEBMAIL,3,876
65600,Separate username for forums,zerospam,2021-08-24T19:46:43.845Z,3,FORUM,3,543
102369,Drop Shadow Option for Images,Pesala,2024-10-26T12:12:45.204Z,2,FORUM,1,364
90047,Live Polls,Pesala,2023-08-30T09:39:22.109Z,2,BLOGS:FORUM,1,491
81318,Feature Request: Share to V. Social from Browser,fjc1029,2022-11-29T13:27:45.777Z,2,VIVALDI SOCIAL,1,351
79771,Blog comments and replies?,northernsoul,2022-10-01T04:57:18.923Z,2,BLOGS,1,335
68072,Make notes available from the web,Thescorb0,2021-10-29T04:41:57.521Z,2,,3,527
73079,Redesign Webmail's UI,Frax0,2022-03-15T20:45:22.869Z,2,WEBMAIL,2,939
72739,Differentiate the Starting Post in a New Topic from Responses,g_bartsch,2022-03-04T22:27:30.505Z,2,FORUM,11,2203
72282,Vivaldi Invidious Instance,leo32345,2022-02-19T23:44:49.653Z,2,,2,1659
117512,More services are nice?,dandqdinh,2026-04-19T20:35:28.428Z,1,VIVALDI SOCIAL,2,161
116157,Update WordPress to modern version,aplan,2026-03-02T08:40:02.556Z,1,BLOGS:PIPELINE,11,589
113316,Favouriting Themes in Vivaldi Themes,katherinewritescode,2025-11-13T15:26:57.522Z,1,THEMES,2,348
112425,Forum Images,Pesala,2025-10-08T23:31:28.905Z,1,FORUM,6,699
117512,More services are nice?,dandqdinh,2026-04-19T20:35:28.428Z,1,VIVALDI SOCIAL,2,161
116157,Update WordPress to modern version,aplan,2026-03-02T08:40:02.556Z,1,BLOGS:PIPELINE,11,589
113316,Favouriting Themes in Vivaldi Themes,katherinewritescode,2025-11-13T15:26:57.522Z,1,THEMES,2,348
112425,Forum Images,Pesala,2025-10-08T23:31:28.905Z,1,FORUM,6,699
107451,Cash donations for Vivaldi  as is also possible for the very good "Mullvad VPN",ingolftopf,2025-04-10T07:09:29.318Z,1,FORUM:ACCOUNT,1,553
106759,See or view when someone is typing or replying to post.,danielson,2025-03-24T13:35:09.823Z,1,FORUM,1,369
106576,Pricing of donations according to the value of the country's currency.,Tchelows,2025-03-20T16:41:28.821Z,1,ACCOUNT:FORUM,2,678
105980,Can you add a romanian local forum? Pleaseeee,Andrecon,2025-03-07T19:08:58.608Z,1,FORUM,3,794
102482,Minor improve for login page,maximvasiljev,2024-10-28T22:19:12.888Z,1,ACCOUNT,3,468
75344,Email Protection like DDG in Vivaldi,Ouros,2022-05-14T15:50:56.868Z,1,,4,929
80750,Blog Statistics,mcastel,2022-11-05T11:37:27.900Z,1,BLOGS,6,1464
90752,Hindi Language in Local Forum,raalapas,2023-09-19T21:53:24.518Z,1,FORUM,3,640
87218,Themes | "With Icons" to Categories,Hadden89,2023-05-22T18:39:30.839Z,1,VIVALDI SOCIAL,3,633
83485,Keep forum topic list header toolbar in view when scrolling,yojimbo274064400,2023-02-03T19:50:30.749Z,1,FORUM,3,448
77284,[Outdated] Insane Captcha on "forum.vivaldi.net",masterquestionable,2022-07-03T22:33:55.161Z,1,FORUM,2,412
78877,Allow us to choose between wordpress and jekyll.,Jknapp1208,2022-08-28T19:39:58.812Z,1,BLOGS,0,413
78663,"Error: You can only rate a user positively 10 times a day",ingolftopf,2022-08-22T14:12:04.561Z,1,FORUM,6,786
77855,Make bookmarks and tabs available on the web,Bango,2022-07-26T15:03:52.440Z,1,,4,840
77253,Show vivaldi features in caniuse.com,SieDa,2022-07-02T12:22:03.562Z,1,,3,522
75448,Calendar colors,Doelli,2022-05-17T19:50:47.600Z,1,WEBMAIL,2,667
69367,Notify recovery email when new device logs into account,Thescorb0,2021-12-04T09:47:37.073Z,1,,1,297
117911,AI-free search engine from Vivaldi,sunnysidedown,2026-05-08T14:40:25.339Z,0,DONATIONS,5,258
116300,New (sub)category in the forum: Requests for keyboard shortcut/mouse gesture features?,Rul1502,2026-03-07T00:35:04.908Z,0,FORUM,3,220
115349,Add option to minimize hidden media in posts,dreddie,2026-02-02T15:17:28.451Z,0,VIVALDI SOCIAL,1,155
115316,Critical security feature request: remote device deauthorization and selective data wipe (passwords) for a specific device,TY4Browser,2026-02-01T22:47:04.639Z,0,ACCOUNT,1,153
114146,Tips | Search Box Options,Zalex108,2025-12-13T16:50:45.379Z,0,BLOGS,2,310
113956,New section Vivaldi for BSD,neonix1,2025-12-04T14:14:35.071Z,0,,1,260
113518,Roadmap for integrating more Fediverse features into Viivaldi?,timothychambers,2025-11-18T15:26:54.125Z,0,VIVALDI SOCIAL,2,422
113542,Release formerly deleted user accounts,IrishCross,2025-11-19T11:01:12.943Z,0,ACCOUNT:FORUM,3,447
113370,Implement "Remember Me" Option to 2-Factor Authorization.,Lunarie,2025-11-14T13:51:49.553Z,0,ACCOUNT:FORUM,2,342
113371,Open the bug tracker,CummingCowGirl,2025-11-14T14:37:25.871Z,0,BLOGS:FORUM,1,291
